ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
1,28.4709375,20.88076002,21.97564095,24.68487541,26.54912845,23.92143018,26.13677831,26.00143057,24.30056028,25.05064018,25.29880791,27.11307409,23.82817095,26.40721823,27.3146013,25.46530539,25.96933517,26.97330196,24.48470917,26.64941503,25.90580307,24.34540138,24.75959737,25.55028761,26.12385061,26.37861756,27.71943396,28.40199986,26.40360797,28.35736838,28.4588654,29.31514216,29.17806158,29.5434191,30
2,2.25,1.89,1.854,2.210833333,2.648166667,2.463170833,2.606433333,2.125607143,1.971248677,1.995364286,1.966600529,1.921916667,2.032555556,1.933683333,1.989833333,1.988,2.170616667,2.1399,2.144148148,2.230518519,2.338240741,2.407633333,2.5384,2.635166667,2.757480952,3.013958333,3.209238321,3.318935155,3.065083516,3.341490007,3.543216449,3.840558213,3.476993438,2.865,2.815
3,4.05,2.46,7.98,23.21666667,8.041481481,19.7547963,17.02568783,26.7148619,18.46404233,20.82705,19.95597884,22.19116667,13.69711111,15.34538333,11.81266667,11.16611111,9.183533333,8.68745,7.132703704,6.914777778,5.893333333,5.451366667,4.294933333,4.486096667,5.349042857,5.503375,9.451416667,11.12308333,15.57712963,20.564,21.32074074,26.56702381,40.8975,32.28833333,44.49
4,2.55,3.23,34.69333333,17.53916667,12.736875,15.86074074,14.28375,19.327,16.00875661,18.48855556,13.87485417,14.81627083,10.68837037,10.89708333,7.183583333,7.601111111,7.278016667,6.1403,4.922925926,6.703981481,6.26037037,7.21,6.592833333,7.540666667,7.34607619,8.412333333,8.740333333,9.126466667,10.54768519,12.5825,17.29703704,21.0347619,27.675,24.54166667,22.855
5,1.487053104,1.972742464,1.10231351,1.784120143,1.91678598,1.913424864,1.660659355,1.929465017,2.403576169,2.305596655,2.336654935,1.852789397,2.607352847,2.164737247,1.857382292,2.08586526,1.708893421,1.810502524,1.834411316,1.559457799,1.759763158,1.490346111,1.478480493,1.414312237,1.294848297,1.531659012,0.980875628,1.168515329,1.137087049,1.158247903,0.979638958,1.035367316,1.069661525,1.708436483,1.889919776
6,3.368004772,2.746662353,4.477499578,3.58522878,4.057664644,4.200646392,3.776637886,3.747499721,3.708178098,3.466243721,3.293134495,3.203770846,3.647831101,3.641313305,3.609623625,3.84116097,4.027025679,3.430908824,3.068338165,3.622846884,3.798995954,3.783874205,3.711878996,4.054672778,4.499062688,4.275888827,4.605599492,4.411000595,4.932878436,4.971376721,4.34001853,4.31506798,4.754395636,3.678498019,3.546785535
7,5.845,3.2,3.204,4.5775,3.446916667,3.179616667,2.889227778,3.20172619,3.124280423,3.159235714,2.493624339,2.417333333,2.426703704,2.253183333,2.285666667,2.366703704,2.16525,2.31125,2.375962963,2.555425926,2.219814815,2.279166667,2.6017,2.624933333,2.882004762,2.740833333,2.825583333,3.388293333,2.850532407,2.733,3.167037037,4.641428571,3.106,2.3,2.27
8,10.37666667,1.77,12.32704762,8.483333333,8.792068056,8.312210907,6.748155556,8.814702381,8.149279919,8.056254762,5.366362434,5.784333333,5.535074074,5.447616667,5.7295,5.866037037,5.098383333,4.789,4.180259259,5.146574074,5.465648148,5.6684,5.993933333,6.0796,6.172128571,6.791416667,8.035666667,8.83949,9.734230556,10.70579974,14.70876559,13.38527211,16.02339583,16.33549603,18.06583333
9,1.4225,3.16,1.106,1.293333333,1.33725,1.044083333,1.229272222,1.00052381,1.196616402,1.124704762,1.528849206,1.309666667,1.26537037,1.3699,1.291416667,1.337222222,1.352016667,1.57685,1.765148148,1.324814815,1.383611111,1.161033333,1.214633333,1.115966667,1.110859524,0.924125,0.887833333,0.899235714,1.222010008,1.05541691,0.847222222,0.812619048,0.871,1.336666667,1.335
10,23.1875,1.7,28.004,15.05583333,15.21048333,14.02503941,10.97180475,12.38111181,10.73630864,10.88150952,8.799920635,10.10716667,8.128148148,7.486866667,8.149916667,6.670407407,6.324566667,5.3983,4.835851852,6.190111111,6.512407407,7.451566667,7.3245,7.762133333,7.44267381,9.037833333,9.48775,10.03839333,12.63425926,13.298,19.41518746,19.14427717,20.0659369,18.02136041,12.61148438
